Moon x	Moon y	Apollo x	Apollo y	t	vmag	r
382692003.055502	36329296.292213	410413234.688312	237043039.184617	35600.000000	1021.966949	384412521.871648
382682401.274568	36431040.915266	411059404.144729	237416635.984048	35700.000000	1021.966764	384412592.129133
382672772.642002	36532782.982066	411705558.450191	237790225.115225	35800.000000	1021.966578	384412662.582715
382663117.158494	36634522.485475	412351697.655698	238163806.601197	35900.000000	1021.966391	384412733.232386
382653434.824735	36736259.418358	412997821.811983	238537380.464880	36000.000000	1021.966204	384412804.078143
382643725.641421	36837993.773575	413643930.969516	238910946.729056	36100.000000	1021.966017	384412875.119980
382633989.609247	36939725.543991	414290025.178504	239284505.416376	36200.000000	1021.965829	384412946.357891
382624226.728912	37041454.722468	414936104.488893	239658056.549357	36300.000000	1021.965640	384413017.791873
382614437.001116	37143181.301871	415582168.950368	240031600.150391	36400.000000	1021.965451	384413089.421919
382604620.426560	37244905.275062	416228218.612359	240405136.241738	36500.000000	1021.965262	384413161.248025
382594777.005948	37346626.634906	416874253.524038	240778664.845531	36600.000000	1021.965072	384413233.270185
382584906.739986	37448345.374267	417520273.734323	241152185.983781	36700.000000	1021.964881	384413305.488395
382575009.629382	37550061.486008	418166279.291878	241525699.678369	36800.000000	1021.964690	384413377.902649
382565085.674845	37651774.962995	418812270.245116	241899205.951057	36900.000000	1021.964498	384413450.512941
382555134.877087	37753485.798091	419458246.642200	242272704.823482	37000.000000	1021.964306	384413523.319268
382545157.236822	37855193.984162	420104208.531045	242646196.317162	37100.000000	1021.964113	384413596.321623
382535152.754764	37956899.514073	420750155.959320	243019680.453493	37200.000000	1021.963920	384413669.520001
382525121.431632	38058602.380689	421396088.974447	243393157.253755	37300.000000	1021.963726	384413742.914397
382515063.268144	38160302.576875	422042007.623604	243766626.739107	37400.000000	1021.963532	384413816.504806
382504978.265021	38262000.095498	422687911.953728	244140088.930595	37500.000000	1021.963337	384413890.291223
382494866.422987	38363694.929421	423333802.011515	244513543.849149	37600.000000	1021.963142	384413964.273641
382484727.742766	38465387.071513	423979677.843423	244886991.515583	37700.000000	1021.962946	384414038.452057
382474562.225086	38567076.514639	424625539.495668	245260431.950599	37800.000000	1021.962750	384414112.826464
382464369.870675	38668763.251665	425271387.014235	245633865.174788	37900.000000	1021.962553	384414187.396857
382454150.680265	38770447.275459	425917220.444872	246007291.208629	38000.000000	1021.962356	384414262.163232
382443904.654587	38872128.578886	426563039.833091	246380710.072492	38100.000000	1021.962158	384414337.125581
382433631.794376	38973807.154814	427208845.224178	246754121.786637	38200.000000	1021.961960	384414412.283901
382423332.100370	39075482.996110	427854636.663184	247127526.371216	38300.000000	1021.961761	384414487.638186
382413005.573306	39177156.095642	428500414.194932	247500923.846278	38400.000000	1021.961561	384414563.188430
382402652.213924	39278826.446277	429146177.864020	247874314.231761	38500.000000	1021.961362	384414638.934628
382392272.022968	39380494.040883	429791927.714818	248247697.547502	38600.000000	1021.961161	384414714.876774
382381865.001182	39482158.872328	430437663.791471	248621073.813232	38700.000000	1021.960960	384414791.014864
382371431.149310	39583820.933481	431083386.137901	248994443.048583	38800.000000	1021.960759	384414867.348891
382360970.468103	39685480.217209	431729094.797810	249367805.273079	38900.000000	1021.960557	384414943.878851
382350482.958309	39787136.716382	432374789.814678	249741160.506150	39000.000000	1021.960354	384415020.604737
382339968.620681	39888790.423869	433020471.231766	250114508.767122	39100.000000	1021.960151	384415097.526544
