Moon x	Moon y	Apollo x	Apollo y	t	vmag	radM
321406282.754106	230241014.826913	363374073.621735	223609149.429833	221600.000000	1171.852632	42487376.890987
321352210.365382	230323900.700867	363441113.692317	223705244.745826	221700.000000	1171.533361	42604955.121808
321298117.251409	230406771.720341	363508108.437871	223801332.787464	221800.000000	1171.214745	42722531.706441
321244003.416357	230489627.880478	363575058.012620	223897413.515611	221900.000000	1170.896781	42840106.610400
321189868.864395	230572469.176421	363641962.569633	223993486.891640	222000.000000	1170.579465	42957679.800056
321135713.599692	230655295.603317	363708822.260832	224089552.877424	222100.000000	1170.262794	43075251.242616
321081537.626421	230738107.156310	363775637.237014	224185611.435325	222200.000000	1169.946764	43192820.906112
321027340.948753	230820903.830550	363842407.647853	224281662.528194	222300.000000	1169.631372	43310388.759383
320973123.570861	230903685.621183	363909133.641916	224377706.119358	222400.000000	1169.316614	43427954.772062
320918885.496919	230986452.523362	363975815.366674	224473742.172616	222500.000000	1169.002486	43545518.914566
320864626.731103	231069204.532235	364042452.968512	224569770.652233	222600.000000	1168.688985	43663081.158073
320810347.277589	231151941.642957	364109046.592742	224665791.522932	222700.000000	1168.376109	43780641.474520
320756047.140553	231234663.850681	364175596.383613	224761804.749886	222800.000000	1168.063852	43898199.836580
320701726.324174	231317371.150560	364242102.484320	224857810.298717	222900.000000	1167.752213	44015756.217654
320647384.832630	231400063.537752	364308565.037016	224953808.135483	223000.000000	1167.441187	44133310.591856
320593022.670101	231482741.007412	364374984.182824	225049798.226678	223100.000000	1167.130771	44250862.934003
320538639.840768	231565403.554701	364441360.061845	225145780.539221	223200.000000	1166.820963	44368413.219599
320484236.348812	231648051.174777	364507692.813170	225241755.040454	223300.000000	1166.511758	44485961.424829
320429812.198417	231730683.862800	364573982.574890	225337721.698132	223400.000000	1166.203153	44603507.526540
320375367.393765	231813301.613934	364640229.484104	225433680.480422	223500.000000	1165.895146	44721051.502232
320320901.939042	231895904.423340	364706433.676930	225529631.355893	223600.000000	1165.587733	44838593.330050
320266415.838433	231978492.286184	364772595.288516	225625574.293514	223700.000000	1165.280911	44956132.988767
320211909.096124	232061065.197631	364838714.453050	225721509.262647	223800.000000	1164.974676	45073670.457778
320157381.716303	232143623.152847	364904791.303766	225817436.233038	223900.000000	1164.669026	45191205.717086
320102833.703158	232226166.147001	364970825.972955	225913355.174820	224000.000000	1164.363958	45308738.747292
320048265.060878	232308694.175262	365036818.591977	226009266.058500	224100.000000	1164.059468	45426269.529586
319993675.793654	232391207.232800	365102769.291268	226105168.854958	224200.000000	1163.755553	45543798.045735
319939065.905677	232473705.314787	365168678.200347	226201063.535440	224300.000000	1163.452210	45661324.278074
319884435.401139	232556188.416395	365234545.447830	226296950.071554	224400.000000	1163.149436	45778848.209496
319829784.284233	232638656.532799	365300371.161433	226392828.435265	224500.000000	1162.847229	45896369.823441
